class,n_species,n_P,n_N,n_Metal,n_Phz_operon,frac_P,frac_N,frac_M,n_P_Metal,PM_enrichment,phi_PM
c__Gammaproteobacteria,796,764,90,780,6,0.96,0.113,0.98,757,1.011,0.3808
c__Actinomycetia,649,649,2,645,21,1.0,0.003,0.994,645,1.0,0.0
c__Alphaproteobacteria,522,506,100,504,0,0.969,0.192,0.966,490,1.003,0.0882
c__Bacteroidia,327,260,7,311,0,0.795,0.021,0.951,248,1.003,0.0253
c__Bacilli,280,275,20,269,0,0.982,0.071,0.961,266,1.007,0.2504
c__Clostridia,116,93,39,111,0,0.802,0.336,0.957,92,1.034,0.3203
c__Acidimicrobiia,109,83,2,98,0,0.761,0.018,0.899,76,1.018,0.0983
c__Terriglobia,95,93,6,92,0,0.979,0.063,0.968,91,1.01,0.3928
c__Thermoplasmata,83,33,6,83,0,0.398,0.072,1.0,33,1.0,0.0
c__Paceibacteria,79,1,0,72,0,0.013,0.0,0.911,1,1.097,0.0353
c__Verrucomicrobiae,61,60,5,49,0,0.984,0.082,0.803,48,0.996,-0.0639
c__Dormibacteria,47,35,0,44,0,0.745,0.0,0.936,32,0.977,-0.1529
c__Gemmatimonadetes,46,41,0,46,0,0.891,0.0,1.0,41,1.0,0.0
c__Anaerolineae,43,43,2,43,0,1.0,0.047,1.0,43,1.0,0.0
c__Micrarchaeia,38,0,0,38,0,0.0,0.0,1.0,0,0.0,0.0
c__Microgenomatia,36,0,0,34,0,0.0,0.0,0.944,0,0.0,0.0
c__Nitrososphaeria,36,21,0,36,0,0.583,0.0,1.0,21,1.0,0.0
c__Dehalococcoidia,35,30,2,34,0,0.857,0.057,0.971,29,0.995,-0.07
c__Phycisphaerae,32,28,0,28,0,0.875,0.0,0.875,24,0.98,-0.1429
c__Saccharimonadia,30,1,0,15,0,0.033,0.0,0.5,0,0.0,-0.1857
c__Thermoleophilia,27,27,1,25,0,1.0,0.037,0.926,25,1.0,0.0
c__Bathyarchaeia,27,17,0,27,0,0.63,0.0,1.0,17,1.0,0.0
c__Myxococcia,27,27,1,26,0,1.0,0.037,0.963,26,1.0,0.0
c__Leptospirae,27,19,0,27,0,0.704,0.0,1.0,19,1.0,0.0
c__Rhodothermia,25,23,0,25,0,0.92,0.0,1.0,23,1.0,0.0
c__Spirochaetia,24,23,0,24,0,0.958,0.0,1.0,23,1.0,0.0
c__Polyangia,23,21,7,23,0,0.913,0.304,1.0,21,1.0,0.0
c__Desulfobacteria,22,21,9,22,0,0.955,0.409,1.0,21,1.0,0.0
c__Limnocylindria,21,20,0,21,0,0.952,0.0,1.0,20,1.0,0.0
c__Thermodesulfovibrionia,21,21,14,21,0,1.0,0.667,1.0,21,1.0,0.0
c__Nitrospiria,21,20,0,21,0,0.952,0.0,1.0,20,1.0,0.0
c__Halobacteria,20,20,0,20,0,1.0,0.0,1.0,20,1.0,0.0
c__Nanoarchaeia,20,0,0,16,0,0.0,0.0,0.8,0,0.0,0.0
