group_A,group_B,n_A,n_B,n_both,n_neither,expected_both,enrichment_ratio,jaccard,phi,odds_ratio,fisher_p
P_acquisition,N_fixation,22189,2746,2414,5161,2201.1,1.097,0.1072,0.0645,1.898,1.344942178959234e-29
P_acquisition,Metal_handling,22189,25387,20683,789,20349.4,1.016,0.7691,0.1096,2.304,1.2844362845354163e-65
P_acquisition,Phenazine,22189,11094,10308,4707,8892.6,1.159,0.4487,0.2616,5.196,0.0
P_acquisition,Phenazine_operon,22189,63,63,5493,50.5,1.248,0.0028,0.0238,inf,1.5153314371349058e-06
P_acquisition,N_fixation_broad,22189,5872,4873,4494,4706.8,1.035,0.2102,0.0368,1.266,5.748275331032025e-10
N_fixation,Metal_handling,2746,25387,2719,2268,2518.3,1.08,0.107,0.0879,10.076,1.2594873535946991e-71
N_fixation,Phenazine,2746,11094,1254,15096,1100.5,1.139,0.0996,0.0379,1.289,3.8010427319113413e-10
N_fixation,Phenazine_operon,2746,63,0,24873,6.2,0.0,0.0,-0.0158,0.0,0.0024153512494635115
N_fixation,N_fixation_broad,2746,5872,2746,21810,582.5,4.714,0.4676,0.6395,inf,0.0
Metal_handling,Phenazine,25387,11094,10632,1833,10174.2,1.045,0.4113,0.1224,2.859,6.658949757227958e-100
Metal_handling,Phenazine_operon,25387,63,63,2295,57.8,1.09,0.0025,0.0144,inf,0.009368977310816106
Metal_handling,N_fixation_broad,25387,5872,5718,2141,5385.2,1.062,0.2239,0.1067,4.042,1.5177607938188825e-87
Phenazine,Phenazine_operon,11094,63,63,16588,25.2,2.495,0.0057,0.0584,inf,8.633350585382967e-26
Phenazine,N_fixation_broad,11094,5872,2252,12968,2353.3,0.957,0.1531,-0.0183,0.912,0.0024429212462058042
Phenazine_operon,N_fixation_broad,63,5872,3,21750,13.4,0.224,0.0005,-0.0192,0.185,0.0005268460798852527
