species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__Thiocapsa_sp022340925--GB_GCA_022340925.1,N_genes,2,0,2,3,inf,0.4285714285714286
s__Halochromatium_sp003562815--GB_GCA_003562815.1,N_genes,2,0,0,3,inf,0.10000000000000002
s__Trichlorobacter_lovleyi--RS_GCF_000020385.1,N_genes,2,0,3,0,,1.0
s__Desulfotomaculum_profundi--RS_GCF_002607855.1,N_genes,1,1,1,5,5.0,0.46428571428571425
s__Clostridium_B_ragsdalei--RS_GCF_001675165.1,N_genes,4,0,2,0,,1.0
s__Rhodospira_marina--RS_GCF_014197855.1,N_genes,2,0,2,0,,1.0
s__Xanthobacter_aminoxidans--RS_GCF_023571765.1,N_genes,2,0,1,1,inf,1.0
s__Desulfosporosinus_sp002413075--GB_GCA_002413075.1,N_genes,0,6,1,3,0.0,0.3999999999999999
s__Spirirestis_rafaelensis--GB_GCA_019359015.1,N_genes,2,0,4,0,,1.0
s__Fen-1308_sp003170655--GB_GCA_003170655.1,N_genes,1,2,2,7,1.75,1.0
s__BIFV01_sp003990955--GB_GCA_003990955.1,N_genes,5,0,2,0,,1.0
s__UBA4572_sp023481175--GB_GCA_023481175.1,N_genes,0,2,0,3,,1.0
s__Acidithiobacillus_ferrianus--RS_GCF_010378095.1,N_genes,2,0,0,6,inf,0.03571428571428571
s__Sporolactobacillus_terrae--RS_GCF_000648615.1,N_genes,0,2,3,2,0.0,0.4285714285714286
s__Dehalobacter_restrictus--RS_GCF_000512895.1,N_genes,0,2,3,0,0.0,0.10000000000000002
s__Pelosinus_fermentans_A--RS_GCF_000271665.2,N_genes,5,1,3,1,1.667,1.0
s__Paenibacillus_sophorae--RS_GCF_018966525.1,N_genes,3,2,4,0,0.0,0.4444444444444444
s__Bradyrhizobium_canariense_D--RS_GCF_021052305.1,N_genes,2,1,4,4,2.0,1.0
s__Cupidesulfovibrio_sp019931275--RS_GCF_019931275.1,N_genes,2,0,3,2,inf,1.0
s__Thiobacillus_sp021836225--GB_GCA_021836225.1,N_genes,1,2,2,7,1.75,1.0
s__Nostoc_muscorum--RS_GCF_014698115.1,N_genes,2,1,4,0,0.0,0.42857142857142855
s__JADFXG01_sp015233895--GB_GCA_015233895.1,N_genes,0,2,1,1,0.0,1.0
s__Acididesulfobacter_diazotrophicus--GB_GCA_004195025.1,N_genes,1,1,1,2,2.0,1.0
s__Azospirillum_sp003116065--RS_GCF_004923315.1,N_genes,2,0,2,2,inf,0.4666666666666667
s__Ensifer_A_sp900466575--GB_GCA_900466575.1,N_genes,2,0,3,0,,1.0
s__SKZT01_sp011389745--GB_GCA_011389745.1,N_genes,2,0,3,2,inf,1.0
s__Rhizobium_sp001657485--RS_GCF_001657485.1,N_genes,1,2,5,1,0.1,0.22619047619047616
s__EX4572-44_sp002254825--GB_GCA_002254825.2,N_genes,1,1,0,3,inf,0.4000000000000001
s__Methanothermobacter_thermautotrophicus_A--RS_GCF_014889545.1,N_genes,2,0,6,1,inf,1.0
