species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__Aestuariivirga_sp902826365--GB_GCA_902826365.1,Phz_genes,0,3,1,3,0.0,1.0
s__Duganella_sp024123915--GB_GCA_024123915.1,Phz_genes,0,2,2,1,0.0,0.4000000000000001
s__Hydrogenophaga_sp010104355--RS_GCF_010104355.1,Phz_genes,2,0,6,0,,1.0
s__Pseudomonas_E_sp002699985--RS_GCF_002699985.1,Phz_genes,3,1,2,0,0.0,1.0
s__Clostridioides_difficile_A--RS_GCF_001299635.1,Phz_genes,2,2,2,2,1.0,1.0
s__Acidovorax_sp003058055--RS_GCF_003058055.1,Phz_genes,4,0,3,0,,1.0
s__Gp7-AA6_sp003222385--GB_GCA_003222385.1,Phz_genes,0,3,1,1,0.0,0.4000000000000001
s__Hamadaea_sp013361475--GB_GCA_013361475.1,Phz_genes,3,0,2,2,inf,0.42857142857142855
s__Streptomyces_griseus--RS_GCF_900460065.1,Phz_genes,2,0,2,2,inf,0.4666666666666667
s__Nocardiopsis_A_halophila--RS_GCF_000341245.1,Phz_genes,3,2,2,0,0.0,1.0
s__Caballeronia_sp011493005--RS_GCF_011493005.1,Phz_genes,2,0,2,0,,1.0
s__Telluria_sp001426525--RS_GCF_001426525.1,Phz_genes,4,1,4,1,1.0,1.0
s__Novosphingobium_pentaromativorans--RS_GCF_000767465.1,Phz_genes,1,2,0,6,inf,0.33333333333333337
s__Streptomyces_sp000158895--RS_GCF_003950035.1,Phz_genes,2,2,3,5,1.667,1.0
s__Lysobacter_soli--RS_GCF_003382285.1,Phz_genes,2,0,2,1,inf,1.0
s__Bacillus_A_cereus_K--RS_GCF_002564555.1,Phz_genes,1,1,2,0,0.0,1.0
s__Flavobacterium_pectinovorum--RS_GCF_900142715.1,Phz_genes,2,1,3,0,0.0,1.0
s__Bosea_sp013823325--GB_GCA_013823325.1,Phz_genes,3,1,3,0,0.0,1.0
s__Comamonas_testosteroni_C--RS_GCF_000761245.1,Phz_genes,2,0,2,3,inf,0.4285714285714286
s__Clostridium_B_ragsdalei--RS_GCF_001675165.1,Phz_genes,2,0,2,0,,1.0
s__Streptomyces_kanamyceticus--RS_GCF_008704495.1,Phz_genes,4,0,6,0,,1.0
s__Rhizobium_indicum--RS_GCF_005862305.2,Phz_genes,2,1,5,2,0.8,1.0
s__Rhodospira_marina--RS_GCF_014197855.1,Phz_genes,3,0,2,0,,1.0
s__Streptomyces_sp002982015--RS_GCF_002982015.1,Phz_genes,3,1,4,0,0.0,1.0
s__Pseudolabrys_sp003133345--GB_GCA_003133345.1,Phz_genes,0,2,1,3,0.0,1.0
s__Paraburkholderia_caledonica--RS_GCF_000685095.1,Phz_genes,1,1,2,0,0.0,1.0
s__Pelomonas_sp003963075--GB_GCA_003963075.1,Phz_genes,0,2,2,5,0.0,1.0
s__Pseudomonas_E_alvandae--RS_GCF_019141525.1,Phz_genes,3,1,3,1,1.0,1.0
s__Pseudomonas_E_peradeniyensis--RS_GCF_014268935.2,Phz_genes,2,2,4,0,0.0,0.42857142857142855
s__Planococcus_sp021513255--RS_GCF_021513255.1,Phz_genes,0,3,2,0,0.0,0.10000000000000002
