pair,phylum,n_species,n11,n10,n01,n00,log_OR,se,ci_lo,ci_hi,fisher_p
P x Metal,p__Acidobacteriota,283,245,13,24,1,-0.2417,1.0596,-2.3185,1.835,1.0
P x Metal,p__Actinomycetota,3164,2901,112,135,16,1.1216,0.2814,0.5701,1.6732,0.00029584756913610306
P x Metal,p__Bacillota,2146,1680,114,261,91,1.6367,0.1555,1.3319,1.9415,8.042479568771177e-24
P x Metal,p__Bacillota_A,3917,2791,38,1051,37,0.95,0.2338,0.4918,1.4082,6.975187426031734e-05
P x Metal,p__Bacillota_B,101,96,0,5,0,2.8648,2.0475,-1.1483,6.8779,1.0
P x Metal,p__Bacillota_C,235,178,3,54,0,-0.7595,1.5198,-3.7382,2.2192,1.0
P x Metal,p__Bacteroidota,3629,2289,293,864,183,0.5036,0.1023,0.303,0.7042,1.2717653253581003e-06
P x Metal,p__Bdellovibrionota,71,63,2,5,1,1.8405,1.3099,-0.7269,4.408,0.2357624004898959
P x Metal,p__Campylobacterota,271,192,20,49,10,0.6725,0.4191,-0.1488,1.4939,0.156262780786302
P x Metal,p__Chloroflexota,457,411,22,23,1,-0.2079,1.0447,-2.2555,1.8396,1.0
P x Metal,p__Cyanobacteriota,469,312,74,33,50,1.8545,0.2589,1.347,2.3619,4.0939250148730095e-13
P x Metal,p__Deinococcota,52,52,0,0,0,4.654,2.4534,-0.1547,9.4626,1.0
P x Metal,p__Desulfobacterota,319,291,5,23,0,0.1201,1.4926,-2.8053,3.0456,1.0
P x Metal,p__Desulfobacterota_F,68,67,0,1,0,3.8067,2.1637,-0.4341,8.0475,1.0
P x Metal,p__Elusimicrobiota,70,44,8,15,3,0.0953,0.7401,-1.3553,1.5459,1.0
P x Metal,p__Fusobacteriota,59,50,2,4,3,2.9312,1.0504,0.8724,4.99,0.009637890486270935
P x Metal,p__Gemmatimonadota,102,90,1,10,1,2.1972,1.453,-0.6506,5.045,0.2050087361677344
P x Metal,p__Halobacteriota,259,239,0,20,0,2.4581,2.0132,-1.4877,6.404,1.0
P x Metal,p__Marinisomatota,90,36,6,34,14,0.9045,0.5434,-0.1606,1.9695,0.12753514793188572
P x Metal,p__Methanobacteriota,74,56,0,18,0,1.1165,2.0179,-2.8385,5.0715,1.0
P x Metal,p__Micrarchaeota,57,0,0,57,0,-4.7449,2.453,-9.5529,0.063,1.0
P x Metal,p__Myxococcota,157,137,4,15,1,0.8256,1.1506,-1.4296,3.0809,0.4200460622220613
P x Metal,p__Nanoarchaeota,135,9,1,118,7,-0.6275,1.1236,-2.8298,1.5747,0.4689764785294191
P x Metal,p__Nitrospirota,115,112,0,3,0,3.4702,2.0723,-0.5916,7.532,1.0
P x Metal,p__Omnitrophota,80,56,15,5,4,1.0942,0.7311,-0.3388,2.5271,0.20501129748875546
P x Metal,p__Patescibacteria,981,15,3,829,134,-0.2129,0.6393,-1.4659,1.04,0.7293557645835274
P x Metal,p__Planctomycetota,348,295,29,18,6,1.2211,0.51,0.2215,2.2207,0.02358121369722962
P x Metal,p__Pseudomonadota,7456,6177,599,499,181,1.3192,0.0967,1.1296,1.5088,1.2731205452958317e-36
P x Metal,p__Spirochaetota,296,207,14,75,0,-2.3563,1.4447,-5.1878,0.4752,0.024527092669446048
P x Metal,p__Synergistota,58,48,2,8,0,0.1321,1.5932,-2.9906,3.2547,1.0
P x Metal,p__Thermoplasmatota,294,194,0,100,0,0.6603,2.0038,-3.2671,4.5877,1.0
P x Metal,p__Thermoproteota,233,136,0,97,0,0.3365,2.0044,-3.5921,4.2651,1.0
P x Metal,p__Thermotogota,51,41,3,6,1,0.8232,1.2347,-1.5967,3.2431,0.45677871148459387
P x Metal,p__Verrucomicrobiota,553,433,81,33,6,-0.0285,0.46,-0.9301,0.8732,1.0
N x Metal,p__Acidobacteriota,283,53,0,216,14,1.9694,1.4465,-0.8657,4.8045,0.07989163820513513
N x Metal,p__Actinomycetota,3164,289,13,2747,115,-0.0719,0.2991,-0.658,0.5143,0.759295685602865
N x Metal,p__Bacillota,2146,184,4,1757,201,1.6606,0.5109,0.6593,2.6619,4.4363416934035306e-05
N x Metal,p__Bacillota_A,3917,1411,13,2431,62,1.0182,0.3069,0.4167,1.6197,0.0003791192631638757
N x Metal,p__Bacillota_B,101,64,0,37,0,0.5423,2.0105,-3.3983,4.4829,1.0
N x Metal,p__Bacillota_C,235,144,0,88,3,2.4362,1.5179,-0.5388,5.4112,0.05688978175509086
