gene_x,gene_y,group_x,group_y,n_pathways_x,n_pathways_y,n_shared,n_union,jaccard,shared_pathways
phnC,HMA,P,M,9,13,1,21,0.0476,nan
phnC,actP,P,M,9,4,0,13,0.0,
phnC,copA,P,M,9,9,1,17,0.0588,nan
phnC,copF,P,M,9,4,0,13,0.0,
phnC,copZ,P,M,9,5,1,13,0.0769,nan
phnC,corA,P,M,9,3,1,11,0.0909,nan
phnC,cueA,P,M,9,4,0,13,0.0,
phnC,feoB,P,M,9,37,1,45,0.0222,nan
phnC,golT,P,M,9,4,0,13,0.0,
phnC,pacS,P,M,9,4,0,13,0.0,
phnC,silP,P,M,9,4,0,13,0.0,
phnC,unknown,P,M,9,7,1,15,0.0667,nan
phnC,yHS,P,M,9,5,1,13,0.0769,nan
phnC,zntA,P,M,9,7,1,15,0.0667,nan
phnD,HMA,P,M,13,13,3,23,0.1304,ko01100;map01100;nan
phnD,actP,P,M,13,4,0,17,0.0,
phnD,copA,P,M,13,9,1,21,0.0476,nan
phnD,copF,P,M,13,4,0,17,0.0,
phnD,copZ,P,M,13,5,1,17,0.0588,nan
phnD,corA,P,M,13,3,1,15,0.0667,nan
phnD,cueA,P,M,13,4,0,17,0.0,
phnD,feoB,P,M,13,37,5,45,0.1111,ko01100;ko01120;map01100;map01120;nan
phnD,golT,P,M,13,4,0,17,0.0,
phnD,pacS,P,M,13,4,0,17,0.0,
phnD,silP,P,M,13,4,0,17,0.0,
phnD,unknown,P,M,13,7,1,19,0.0526,nan
phnD,yHS,P,M,13,5,1,17,0.0588,nan
phnD,zntA,P,M,13,7,1,19,0.0526,nan
phnE,HMA,P,M,5,13,1,17,0.0588,nan
phnE,actP,P,M,5,4,0,9,0.0,
phnE,copA,P,M,5,9,1,13,0.0769,nan
phnE,copF,P,M,5,4,0,9,0.0,
phnE,copZ,P,M,5,5,1,9,0.1111,nan
phnE,corA,P,M,5,3,1,7,0.1429,nan
phnE,cueA,P,M,5,4,0,9,0.0,
phnE,feoB,P,M,5,37,1,41,0.0244,nan
phnE,golT,P,M,5,4,0,9,0.0,
phnE,pacS,P,M,5,4,0,9,0.0,
phnE,silP,P,M,5,4,0,9,0.0,
phnE,unknown,P,M,5,7,1,11,0.0909,nan
phnE,yHS,P,M,5,5,1,9,0.1111,nan
phnE,zntA,P,M,5,7,1,11,0.0909,nan
phoA,HMA,P,M,13,13,5,21,0.2381,ko00790;ko01100;map00790;map01100;nan
phoA,actP,P,M,13,4,0,17,0.0,
phoA,copA,P,M,13,9,1,21,0.0476,nan
phoA,copF,P,M,13,4,0,17,0.0,
phoA,copZ,P,M,13,5,1,17,0.0588,nan
