nutrient_gene,metal_gene,n_nutrient,n_metal,n_both,expected,enrichment,jaccard,phi,odds_ratio,fisher_p,q_value,fdr_significant
phoA,copA,1122,3635,950,898.3,1.058,0.2495,0.066,1.508,5.987755071373716e-06,9.798144662247898e-06,1
phoA,corA,1122,2741,885,677.4,1.306,0.2972,0.2167,3.143,3.998560775286789e-51,2.056402684433206e-50,1
phoA,feoB_pfam,1122,1359,181,335.9,0.539,0.0787,-0.1727,0.366,1.15829343248447e-33,3.625962049516602e-33,1
phoA,HMA_pfam,1122,1076,195,265.9,0.733,0.0974,-0.0852,0.606,5.208867262098933e-09,1.0136174131651977e-08,1
phoD_pfam,copA,167,3635,141,133.7,1.055,0.0385,0.0214,1.364,0.16716924493094312,0.21883973881868918,0
phoD_pfam,corA,167,2741,104,100.8,1.031,0.0371,0.0076,1.087,0.6295269680269517,0.6867566923930382,0
phoD_pfam,feoB_pfam,167,1359,57,50.0,1.14,0.0388,0.0179,1.222,0.2289127569536369,0.2891529561519624,0
phoD_pfam,HMA_pfam,167,1076,72,39.6,1.819,0.0615,0.0892,2.543,2.3846152751100864e-08,4.187617068486005e-08,1
pstA,copA,3434,3635,2981,2749.5,1.084,0.7292,0.2974,4.548,2.327608694493783e-80,3.3517565200710475e-79,1
pstA,corA,3434,2741,2321,2073.3,1.119,0.6022,0.2599,3.406,1.548744945146172e-67,1.3938704506315546e-66,1
pstA,feoB_pfam,3434,1359,822,1027.9,0.8,0.207,-0.2307,0.333,1.0080940362055937e-51,5.583290046677134e-51,1
pstA,HMA_pfam,3434,1076,718,813.9,0.882,0.1893,-0.1157,0.552,3.057357782299037e-14,6.879055010172833e-14,1
pstB,copA,3490,3635,2998,2794.3,1.073,0.7264,0.2663,3.951,1.266758065695265e-64,1.013406452556212e-63,1
pstB,corA,3490,2741,2303,2107.1,1.093,0.5863,0.2093,2.711,2.746974907245049e-44,1.2361387082602719e-43,1
pstB,feoB_pfam,3490,1359,910,1044.7,0.871,0.231,-0.1536,0.472,4.01241171257823e-24,9.961849769159742e-24,1
pstB,HMA_pfam,3490,1076,768,827.1,0.928,0.2022,-0.0727,0.68,1.5213183322802575e-06,2.547323719166943e-06,1
pstC,copA,2621,3635,2350,2098.5,1.12,0.6016,0.2807,4.278,1.2533295273907993e-79,1.503995432868959e-78,1
pstC,corA,2621,2741,2021,1582.4,1.277,0.6049,0.3998,5.609,3.3021803272982624e-162,2.3775698356547488e-160,1
pstC,feoB_pfam,2621,1359,379,784.6,0.483,0.1052,-0.3949,0.162,1.4988637692746355e-157,5.395909569388688e-156,1
pstC,HMA_pfam,2621,1076,384,621.2,0.618,0.1159,-0.2487,0.304,1.4808133700065782e-62,9.692596603679421e-62,1
pstS,copA,2116,3635,1909,1694.2,1.127,0.4969,0.2374,3.729,2.0692420759358695e-60,1.2415452455615218e-59,1
pstS,corA,2116,2741,1604,1277.5,1.256,0.4931,0.2947,3.546,1.3267122899186872e-89,2.3880821218536369e-88,1
pstS,feoB_pfam,2116,1359,349,633.4,0.551,0.1116,-0.2742,0.277,7.954100272148694e-79,8.18136027992437e-78,1
pstS,HMA_pfam,2116,1076,326,501.5,0.65,0.1137,-0.1822,0.406,2.495077727598315e-35,8.554552208908509e-35,1
