"gene","group","prevalence","lambda","lambda_p","lambda_loglik","n_subsample"
"phoA","P-acquisition",0.261333333333333,0.662977216416795,4.11920896513898e-244,-1242.54471703544,3000
"pstA","P-acquisition",0.802666666666667,0.999926686256414,0,292.199208748058,3000
"pstB","P-acquisition",0.787,0.999926686256414,0,107.366556656583,3000
"pstC","P-acquisition",0.622666666666667,0.951290631174868,0,-865.635338261495,3000
"pstS","P-acquisition",0.498333333333333,0.804018566291022,0,-1339.82169633334,3000
"phnC","P-acquisition",0.248333333333333,0.667463809042164,2.52333300140222e-299,-1030.58904206526,3000
"phnD","P-acquisition",0.361,0.751287277481311,3.48504025263498e-319,-1343.76042200043,3000
"phnE","P-acquisition",0.309333333333333,0.775215283074513,0,-1114.66706883787,3000
"nifH","N-fixation",0.0966666666666667,0.85240763441078,4.33216684065931e-307,-2.68241891154048,3000
"nifD","N-fixation",0.089,0.764531708127851,3.69157371455006e-247,-7.28475786983472,3000
"copA","Metal-handling",0.825333333333333,0.785992287350276,6.76852261092218e-234,-831.40588439202,3000
"corA","Metal-handling",0.646,0.960914855923429,0,-1248.81876520041,3000
"phzF","Phenazine",0.622666666666667,0.822642320136666,1.61614554509599e-317,-1395.77329384253,3000
"phzA","Phenazine",0.001,NA,NA,NA,3000
"phzB","Phenazine",0.003,NA,NA,NA,3000
"phzD","Phenazine",0.001,NA,NA,NA,3000
"phzG","Phenazine",0.0113333333333333,0.0553989148981853,4.24310878827489e-44,2580.86979300643,3000
"phzS","Phenazine",0.0796666666666667,0.248273673839953,2.5662367762063e-119,51.2199794549897,3000
"phzM","Phenazine",0.000333333333333333,NA,NA,NA,3000
"phoD","P-acquisition",0.0373333333333333,0.136234664428543,4.68050375045491e-10,676.54936516433,3000
"feoB","Metal-handling",0.248,0.790029272938032,5.40798250222926e-193,-1385.21208708993,3000
"HMA","Metal-handling",0.216,0.713179369922011,1.44575308962337e-121,-1388.41606364396,3000
