phylum,n_species,n_P,n_N,n_Metal,n_Phz_operon,frac_P,frac_N,frac_M,n_P_Metal,n_N_Metal,PM_enrichment,NM_enrichment,phi_PM
p__Pseudomonadota,1335,1286,200,1301,6,0.963,0.15,0.975,1263,198,1.008,1.016,0.2466
p__Actinomycetota,809,781,7,790,21,0.965,0.009,0.977,767,6,1.006,0.878,0.1939
p__Bacteroidota,391,320,9,375,0,0.818,0.023,0.959,308,9,1.004,1.043,0.0367
p__Bacillota,280,275,20,269,0,0.982,0.071,0.961,266,20,1.007,1.041,0.2504
p__Patescibacteria,176,2,0,149,0,0.011,0.0,0.847,1,0,0.591,0.0,-0.1031
p__Acidobacteriota,132,127,7,127,0,0.962,0.053,0.962,123,7,1.007,1.039,0.1685
p__Bacillota_A,119,95,39,114,0,0.798,0.328,0.958,94,39,1.033,1.044,0.3123
p__Chloroflexota,119,112,4,118,0,0.941,0.034,0.992,111,4,0.999,1.008,-0.023
p__Thermoproteota,104,68,1,104,0,0.654,0.01,1.0,68,1,1.0,1.0,0.0
p__Thermoplasmatota,93,39,6,93,0,0.419,0.065,1.0,39,6,1.0,1.0,0.0
p__Verrucomicrobiota,75,74,6,63,0,0.987,0.08,0.84,62,3,0.997,0.595,-0.0507
p__Desulfobacterota,65,63,26,64,0,0.969,0.4,0.985,62,26,1.0,1.016,-0.0223
p__Halobacteriota,63,59,39,63,0,0.937,0.619,1.0,59,39,1.0,1.0,0.0
p__Planctomycetota,56,51,4,50,0,0.911,0.071,0.893,45,4,0.988,1.12,-0.1085
p__Myxococcota,54,51,9,53,0,0.944,0.167,0.981,50,9,0.999,1.019,-0.0333
p__Spirochaetota,53,44,1,53,0,0.83,0.019,1.0,44,1,1.0,1.0,0.0
p__Dormibacterota,47,35,0,44,0,0.745,0.0,0.936,32,0,0.977,0.0,-0.1529
p__Gemmatimonadota,46,41,0,46,0,0.891,0.0,1.0,41,0,1.0,0.0,0.0
p__Nitrospirota,42,41,14,42,0,0.976,0.333,1.0,41,14,1.0,1.0,0.0
p__Micrarchaeota,38,0,0,38,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
p__Cyanobacteriota,23,22,12,23,0,0.957,0.522,1.0,22,12,1.0,1.0,0.0
p__Nanoarchaeota,20,0,0,16,0,0.0,0.0,0.8,0,0,0.0,0.0,0.0
p__Bacillota_B,19,19,15,19,0,1.0,0.789,1.0,19,15,1.0,1.0,0.0
p__Bacillota_E,19,17,3,19,0,0.895,0.158,1.0,17,3,1.0,1.0,0.0
p__Desulfobacterota_F,18,18,16,18,0,1.0,0.889,1.0,18,16,1.0,1.0,0.0
p__Bacillota_D,18,13,0,18,0,0.722,0.0,1.0,13,0,1.0,0.0,0.0
p__Eremiobacterota,17,17,0,13,0,1.0,0.0,0.765,13,0,1.0,0.0,0.0
p__Deinococcota,16,16,0,16,0,1.0,0.0,1.0,16,0,1.0,0.0,0.0
p__Asgardarchaeota,15,9,0,15,0,0.6,0.0,1.0,9,0,1.0,0.0,0.0
p__SZUA-79,14,14,12,13,0,1.0,0.857,0.929,13,12,1.0,1.077,0.0
p__Methylomirabilota,12,12,0,12,0,1.0,0.0,1.0,12,0,1.0,0.0,0.0
p__Omnitrophota,11,11,0,8,0,1.0,0.0,0.727,8,0,1.0,0.0,0.0
p__Methanobacteriota,11,11,11,11,0,1.0,1.0,1.0,11,11,1.0,1.0,0.0
p__Marinisomatota,10,7,0,10,0,0.7,0.0,1.0,7,0,1.0,0.0,0.0
p__Desulfobacterota_B,10,9,0,10,0,0.9,0.0,1.0,9,0,1.0,0.0,0.0
p__Bdellovibrionota,10,10,0,10,0,1.0,0.0,1.0,10,0,1.0,0.0,0.0
p__WOR-3,10,7,0,10,0,0.7,0.0,1.0,7,0,1.0,0.0,0.0
