family,n_linked,n_total,pct_of_linked,pct_of_family
f__Enterobacteriaceae,200,472,27.32,42.37
f__Pseudomonadaceae,66,498,9.02,13.25
f__Xanthomonadaceae,38,207,5.19,18.36
f__Lachnospiraceae,37,1215,5.05,3.05
f__Rhizobiaceae,35,413,4.78,8.47
f__Streptomycetaceae,27,382,3.69,7.07
f__Burkholderiaceae,25,333,3.42,7.51
f__Mycobacteriaceae,24,481,3.28,4.99
f__Nostocaceae,22,65,3.01,33.85
f__Myxococcaceae,19,30,2.6,63.33
f__Bacteroidaceae,17,694,2.32,2.45
f__Vibrionaceae,15,173,2.05,8.67
f__Burkholderiaceae_C,11,93,1.5,11.83
f__Weeksellaceae,10,136,1.37,7.35
f__Bacillaceae_G,9,52,1.23,17.31
f__Pseudonocardiaceae,7,94,0.96,7.45
f__Alteromonadaceae,6,152,0.82,3.95
f__Microcoleaceae,6,25,0.82,24.0
f__Alcanivoracaceae,6,17,0.82,35.29
f__Acetobacteraceae,6,152,0.82,3.95
