species_id,has_phytase,has_siderophore,has_both,family,genus,phylum
s__IGN3_sp002050295--GB_GCA_022708025.1,1,0,0,f__Ignavibacteriaceae,g__IGN3,p__Bacteroidota
s__Methanomarinus_sp002926195--GB_GCA_002926195.1,0,0,0,f__Methanocomedenaceae,g__Methanomarinus,p__Halobacteriota
s__SKPT01_sp007119405--GB_GCA_007119405.1,0,0,0,f__Phycisphaeraceae,g__SKPT01,p__Planctomycetota
s__QNBC01_sp003641665--GB_GCA_003641665.1,0,0,0,f__QNBC01,g__QNBC01,p__WOR-3
s__CF-13_sp005889535--GB_GCA_005889535.1,1,0,0,f__CF-121,g__CF-13,p__Dormibacterota
s__Streptomyces_sp002080455--RS_GCF_002080455.1,0,0,0,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__Peptostreptococcus_russellii--RS_GCF_003012055.1,0,0,0,f__Peptostreptococcaceae,g__Peptostreptococcus,p__Bacillota_A
s__Calidithermus_chliarophilus--RS_GCF_000430045.1,1,0,0,f__Thermaceae,g__Calidithermus,p__Deinococcota
s__Gp1-AA122_sp003225055--GB_GCA_003225055.1,1,0,0,f__SbA1,g__Gp1-AA122,p__Acidobacteriota
s__DMER01_sp003451645--GB_GCA_003451645.1,0,0,0,f__Micropepsaceae,g__DMER01,p__Pseudomonadota
s__Fen-1038_sp021824575--GB_GCA_021824575.1,0,0,0,f__EnvOPS12,g__Fen-1038,p__Chloroflexota
s__Gallimonas_sp944367465--GB_GCA_944367465.1,0,0,0,f__Borkfalkiaceae,g__Gallimonas,p__Bacillota_A
s__Pseudomonas_E_sp000282495--RS_GCF_000282495.1,1,0,0,f__Pseudomonadaceae,g__Pseudomonas_E,p__Pseudomonadota
s__Planosporangium_flavigriseum--RS_GCF_011947225.1,0,0,0,f__Micromonosporaceae,g__Planosporangium,p__Actinomycetota
s__B29-G17_sp003649145--GB_GCA_003649145.1,0,0,0,f__B29-G17,g__B29-G17,p__Thermoproteota
s__Stutzerimonas_zhaodongensis--RS_GCF_003696365.1,0,0,0,f__Pseudomonadaceae,g__Stutzerimonas,p__Pseudomonadota
s__QMVU01_sp003661365--GB_GCA_003661365.1,0,0,0,f__QMVU01,g__QMVU01,p__Thermoproteota
s__Mesorhizobium_sp006440775--RS_GCF_006440775.1,0,0,0,f__Rhizobiaceae,g__Mesorhizobium,p__Pseudomonadota
s__Novibacillus_thermophilus--RS_GCF_002005165.1,0,0,0,f__Novibacillaceae,g__Novibacillus,p__Bacillota
s__JAKATP01_sp021818685--GB_GCA_021818685.1,0,0,0,f__JAIMBI01,g__JAKATP01,p__Bacillota_E
s__Agrobacterium_tumefaciens--RS_GCF_001541315.1,1,0,0,f__Rhizobiaceae,g__Agrobacterium,p__Pseudomonadota
s__SZUA-287_sp003251275--GB_GCA_003251275.1,0,0,0,f__UBA6906,g__SZUA-287,p__Bacteroidota
s__Variovorax_paradoxus--RS_GCF_001591365.1,1,1,1,f__Burkholderiaceae_B,g__Variovorax,p__Pseudomonadota
s__Sanguibacter_inulinus--RS_GCF_013415325.1,0,0,0,f__Cellulomonadaceae,g__Sanguibacter,p__Actinomycetota
s__SKYF01_sp007128005--GB_GCA_007128005.1,0,0,0,f__UBA6776,g__SKYF01,p__Bdellovibrionota
s__Bradyrhizobium_campsiandrae--RS_GCF_014529705.1,0,0,0,f__Xanthobacteraceae,g__Bradyrhizobium,p__Pseudomonadota
s__Nitrosomonas_sp024235735--GB_GCA_024235735.1,0,0,0,f__Nitrosomonadaceae,g__Nitrosomonas,p__Pseudomonadota
s__Salimicrobium_humidisoli--RS_GCF_002295105.1,0,1,0,f__Halobacillaceae,g__Salimicrobium,p__Bacillota
s__Sporolactobacillus_inulinus--RS_GCF_006539285.1,0,0,0,f__Sporolactobacillaceae,g__Sporolactobacillus,p__Bacillota
s__Streptomyces_alboflavus--RS_GCF_000716675.1,1,0,0,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__LC3-1_sp016781735--GB_GCA_016781735.1,0,0,0,f__Thermobaculaceae,g__LC3-1,p__Chloroflexota
s__Nesterenkonia_sp022565915--RS_GCF_022565915.1,0,0,0,f__Micrococcaceae,g__Nesterenkonia,p__Actinomycetota
s__CSSed10-48_sp007130855--GB_GCA_007130855.1,0,0,0,f__Trueperaceae,g__CSSed10-48,p__Deinococcota
s__Streptomyces_sp006088715--RS_GCF_006088715.1,0,0,0,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__Microbacterium_sp913774665--GB_GCA_913774665.1,0,0,0,f__Microbacteriaceae,g__Microbacterium,p__Actinomycetota
s__JAJZKG01_sp021816845--GB_GCA_021816845.1,0,0,0,f__JAJZLI01,g__JAJZKG01,p__Patescibacteria
s__Curtobacterium_sp913778205--GB_GCA_913778205.1,0,0,0,f__Microbacteriaceae,g__Curtobacterium,p__Actinomycetota
s__Chryseobacterium_sediminis--RS_GCF_008386505.1,1,1,1,f__Weeksellaceae,g__Chryseobacterium,p__Bacteroidota
s__Udaeobacter_sp003218975--GB_GCA_003218975.1,1,0,0,f__UBA10450,g__Udaeobacter,p__Verrucomicrobiota
s__Streptomonospora_nanhaiensis--RS_GCF_013410565.1,0,0,0,f__Streptosporangiaceae,g__Streptomonospora,p__Actinomycetota
s__Streptomyces_althioticus--GB_GCA_014649355.1,0,0,0,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__SCQM01_sp021810525--GB_GCA_021810525.1,0,0,0,f__Acidimicrobiaceae,g__SCQM01,p__Actinomycetota
s__Archangium_gephyra--RS_GCF_001027285.1,1,1,1,f__Myxococcaceae,g__Archangium,p__Myxococcota
s__RAAP-2_sp003155915--GB_GCA_003155915.1,0,0,0,f__RAAP-2,g__RAAP-2,p__Actinomycetota
s__Caldilinea_sp020634815--GB_GCA_020634815.1,1,0,0,f__Caldilineaceae,g__Caldilinea,p__Chloroflexota
s__Sedimenticola_selenatireducens--RS_GCF_000428045.1,0,0,0,f__Sedimenticolaceae,g__Sedimenticola,p__Pseudomonadota
s__Rhodoferax_sp003133245--GB_GCA_003133245.1,0,0,0,f__Burkholderiaceae_B,g__Rhodoferax,p__Pseudomonadota
s__SLAD01_sp007123265--GB_GCA_007123265.1,0,0,0,f__SLAD01,g__SLAD01,p__Verrucomicrobiota
s__SLKG01_sp007134735--GB_GCA_007134735.1,0,0,0,f__SLAD01,g__SLKG01,p__Verrucomicrobiota
s__Dehalogenimonas_alkenigignens--RS_GCF_001466665.1,0,0,0,f__Dehalococcoidaceae,g__Dehalogenimonas,p__Chloroflexota
s__Sphingopyxis_granuli--RS_GCF_001591045.1,1,0,0,f__Sphingomonadaceae,g__Sphingopyxis,p__Pseudomonadota
s__RAAP-2_sp021841725--GB_GCA_021841725.1,0,0,0,f__RAAP-2,g__RAAP-2,p__Actinomycetota
s__Acidulodesulfobacterium_A_sp021791295--GB_GCA_021791295.1,0,0,0,f__Acidulodesulfobacteraceae,g__Acidulodesulfobacterium_A,p__SZUA-79
s__AR12_sp003220475--GB_GCA_003220475.1,0,0,0,f__CSP1-6,g__AR12,p__Methylomirabilota
s__Streptomyces_katrae_B--RS_GCF_000717655.1,0,0,0,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__Arthrobacter_sp002929755--RS_GCF_006517235.1,0,0,0,f__Micrococcaceae,g__Arthrobacter,p__Actinomycetota
s__JALNZU01_sp024709145--GB_GCA_024709145.1,1,0,0,f__F082,g__JALNZU01,p__Bacteroidota
s__Flavobacterium_anhuiense--RS_GCF_900101855.1,1,0,0,f__Flavobacteriaceae,g__Flavobacterium,p__Bacteroidota
s__Sporosarcina_sp002077155--RS_GCF_002077155.1,0,0,0,f__Planococcaceae,g__Sporosarcina,p__Bacillota
s__UBA8363_sp002753515--GB_GCA_002753515.1,1,0,0,f__UBA8363,g__UBA8363,p__Pseudomonadota
s__Mesorhizobium_sp013170805--RS_GCF_013170805.1,0,1,0,f__Rhizobiaceae,g__Mesorhizobium,p__Pseudomonadota
s__Desulfitobacterium_dehalogenans--RS_GCF_000243155.2,0,0,0,f__Desulfitobacteriaceae,g__Desulfitobacterium,p__Bacillota_B
s__Sporolactobacillus_terrae--RS_GCF_000648615.1,0,0,0,f__Sporolactobacillaceae,g__Sporolactobacillus,p__Bacillota
s__Neorhizobium_soli--RS_GCF_001423425.1,0,0,0,f__Rhizobiaceae,g__Neorhizobium,p__Pseudomonadota
s__CF-13_sp005880875--GB_GCA_005880875.1,1,0,0,f__CF-121,g__CF-13,p__Dormibacterota
s__Streptomyces_decoyicus--RS_GCF_019880305.1,1,0,0,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__UBA12014_sp002684755--GB_GCA_002684755.1,0,0,0,f__SM1A02,g__UBA12014,p__Planctomycetota
s__JAKCDU01_sp021838445--GB_GCA_021838445.1,0,0,0,f__Palsa-688,g__JAKCDU01,p__Actinomycetota
s__PWYM01_sp003567475--GB_GCA_003567475.1,1,0,0,f__PWYM01,g__PWYM01,p__Pseudomonadota
s__Paenarthrobacter_ureafaciens--RS_GCF_004028095.1,0,0,0,f__Micrococcaceae,g__Paenarthrobacter,p__Actinomycetota
s__Arthrobacter_D_sp000816565--RS_GCF_023100725.1,0,0,0,f__Micrococcaceae,g__Arthrobacter_D,p__Actinomycetota
s__UBA164_sp023381255--GB_GCA_023381255.1,1,0,0,f__UBA164,g__UBA164,p__Thermoproteota
s__JACJYC01_sp020636325--GB_GCA_020636325.1,0,0,0,f__Saprospiraceae,g__JACJYC01,p__Bacteroidota
s__PALSA-1003_sp005889025--GB_GCA_005889025.1,0,0,0,f__Casimicrobiaceae,g__PALSA-1003,p__Pseudomonadota
