species_id,n_p_genes,n_m_genes,total_pairs,n_same_contig,pct_same_contig,median_dist,min_dist,mean_dist
s__13-2-20CM-66-19_sp003136935--GB_GCA_003136935.1,5,2,10,1,10.0,1.0,1.0,1.0
s__13-2-20CM-66-19_sp021805865--GB_GCA_021805865.1,4,1,4,0,0.0,,,
s__13-2-20CM-66-19_sp021807675--GB_GCA_021807675.1,3,3,9,0,0.0,,,
s__13-2-20CM-66-19_sp021808195--GB_GCA_021808195.1,6,2,12,0,0.0,,,
s__13-2-20CM-66-19_sp021838065--GB_GCA_021838065.1,4,2,8,0,0.0,,,
s__13-2-20CM-66-19_sp021843755--GB_GCA_021843755.1,4,4,16,0,0.0,,,
s__13-2-20CM-66-19_sp021845825--GB_GCA_021845825.1,4,3,12,0,0.0,,,
s__13-2-20CM-66-19_sp021851405--GB_GCA_021851405.1,1,3,3,0,0.0,,,
s__13-2-20CM-68-14_sp005884005--GB_GCA_005884005.1,4,2,8,0,0.0,,,
s__13-2-20CM-68-14_sp005888315--GB_GCA_005888315.1,4,2,8,4,50.0,46.5,45.0,46.5
s__2-12-FULL-53-21_sp020027805--GB_GCA_020027805.1,2,3,6,0,0.0,,,
s__20CM-2-55-15_sp003223875--GB_GCA_003223875.1,4,1,4,0,0.0,,,
s__20CM-2-65-7_sp003222195--GB_GCA_003222195.1,5,2,10,0,0.0,,,
s__20CM-2-70-11_sp003220315--GB_GCA_003220315.1,4,2,8,0,0.0,,,
s__20CM-2-70-11_sp003221695--GB_GCA_003221695.1,2,2,4,0,0.0,,,
s__20CM-4-69-16_sp001919865--GB_GCA_001919865.1,5,1,5,0,0.0,,,
s__20CM-4-69-16_sp003220795--GB_GCA_003220795.1,4,1,4,0,0.0,,,
s__3-1-20CM-2-70-9_sp001919195--GB_GCA_005883625.1,2,2,4,0,0.0,,,
s__3-1-20CM-2-70-9_sp005882765--GB_GCA_005882765.1,2,1,2,0,0.0,,,
s__3-1-20CM-3-53-8_sp001920415--GB_GCA_001920415.1,4,1,4,0,0.0,,,
s__3-1-20CM-4-69-9_sp005883355--GB_GCA_005883355.1,4,2,8,0,0.0,,,
